title,calorie,protein_g,carb_g,fat_g,protein_ratio,carb_ratio,fat_ratio,servings,ratings,cook_time,link
Souvlaki,189.0,24.2,4.3,8.1,0.51,0.09999999999999998,0.39,12.0,4.7,165,https://www.allrecipes.com/recipe/14713/souvlaki/
Kielbasa And Cabbage,377.0,17.2,20.2,26.0,0.18,0.19999999999999996,0.62,6.0,4.53,40,https://www.allrecipes.com/recipe/14714/kielbasa-and-cabbage/
Grilled Pork Tenderloin,197.0,23.5,15.7,3.7,0.48,0.35,0.17,6.0,4.67,55,https://www.allrecipes.com/recipe/14726/grilled-pork-tenderloin/
Herbed Pork And Apples,358.0,20.4,21.3,21.1,0.23,0.24,0.53,14.0,4.62,650,https://www.allrecipes.com/recipe/14730/herbed-pork-and-apples/
Honey Glazed Ham,521.0,26.1,42.4,28.3,0.2,0.31000000000000005,0.49,15.0,4.67,95,https://www.allrecipes.com/recipe/14745/honey-glazed-ham/
Pork Dumplings,752.0,39.2,81.1,28.8,0.21,0.44999999999999996,0.34,6.0,4.6,0,https://www.allrecipes.com/recipe/14759/pork-dumplings/
Gouda And Spinach Stuffed Pork Chops,451.0,38.8,23.8,25.5,0.34,0.1499999999999999,0.51,4.0,4.52,70,https://www.allrecipes.com/recipe/148238/gouda-and-spinach-stuffed-pork-chops/
Camp David Spaghetti With Italian Sausage,439.0,24.5,47.5,16.5,0.22,0.43999999999999995,0.34,8.0,4.61,115,https://www.allrecipes.com/recipe/148543/camp-david-spaghetti-with-italian-sausage/
Slow Cooker Carolina Bbq,293.0,27.6,3.6,17.3,0.38,0.08999999999999997,0.53,10.0,4.64,735,https://www.allrecipes.com/recipe/148544/slow-cooker-carolina-bbq/
Super Simple Super Spicy Mongolian Beef,200.0,15.4,7.9,11.9,0.31,0.1499999999999999,0.54,4.0,4.58,81,https://www.allrecipes.com/recipe/148831/super-simple-super-spicy-mongolian-beef/
Kielbasa With Brussels Sprouts,441.0,17.8,13.4,35.1,0.16,0.12,0.72,4.0,4.56,33,https://www.allrecipes.com/recipe/148970/kielbasa-with-brussels-sprouts/
Fish Tacos With Honey Cumin Cilantro Slaw And Chipotle Mayo,984.0,42.2,117.5,44.4,0.17,0.42000000000000004,0.41,4.0,4.67,280,https://www.allrecipes.com/recipe/149052/fish-tacos-with-honey-cumin-cilantro-slaw-and-chipotle-mayo/
Grecian Pork Tenderloin,404.0,24.3,9.1,31.1,0.24,0.07000000000000006,0.69,6.0,4.58,165,https://www.allrecipes.com/recipe/14951/grecian-pork-tenderloin/
Slow Cooker Posole,241.0,16.8,25.7,7.7,0.28,0.42999999999999994,0.29,8.0,4.64,415,https://www.allrecipes.com/recipe/149938/slow-cooker-posole/
Beer Brats,382.0,13.8,9.7,27.4,0.14,0.20999999999999996,0.65,10.0,4.57,25,https://www.allrecipes.com/recipe/149975/beer-brats/
Baked Cod With Boursin Herb Cheese,394.0,45.0,7.6,21.1,0.46,0.06000000000000005,0.48,4.0,4.55,40,https://www.allrecipes.com/recipe/152653/baked-cod-with-boursin-herb-cheese/
Individual Beef Wellingtons,946.0,42.1,43.8,66.0,0.18,0.18999999999999995,0.63,6.0,4.55,45,https://www.allrecipes.com/recipe/15336/individual-beef-wellingtons/
Crab Legs With Garlic Butter Sauce,520.0,43.6,1.0,37.5,0.34,0.010000000000000009,0.65,2.0,4.74,20,https://www.allrecipes.com/recipe/155375/crab-legs-with-garlic-butter-sauce/
Mini Meatloaves,255.0,15.1,16.6,14.4,0.24,0.25,0.51,8.0,4.61,60,https://www.allrecipes.com/recipe/15715/mini-meatloaves/
Cajun Style Meatloaf,548.0,25.7,19.3,40.8,0.19,0.1399999999999999,0.67,8.0,4.66,80,https://www.allrecipes.com/recipe/15825/cajun-style-meatloaf/
Spinach And Feta Turkey Burgers,233.0,27.4,2.4,13.0,0.47,0.030000000000000027,0.5,8.0,4.56,35,https://www.allrecipes.com/recipe/158968/spinach-and-feta-turkey-burgers/
Lovers Beef Burgundy Filet,883.0,28.9,8.0,73.8,0.13,0.12,0.75,8.0,4.57,400,https://www.allrecipes.com/recipe/15901/lovers-beef-burgundy-filet/
Almond Crusted Tilapia,424.0,46.9,9.0,22.4,0.44,0.08000000000000007,0.48,8.0,4.51,30,https://www.allrecipes.com/recipe/159939/almond-crusted-tilapia/
Crust For Veggie Pot Pie,265.0,3.2,23.8,17.4,0.05,0.36,0.59,8.0,4.59,0,https://www.allrecipes.com/recipe/15998/crust-for-veggie-pot-pie/
Seared Ahi Tuna Steaks,301.0,33.3,0.7,17.8,0.44,0.030000000000000027,0.53,2.0,4.61,17,https://www.allrecipes.com/recipe/160099/seared-ahi-tuna-steaks/
Spicy Shrimp And Grits,281.0,19.7,20.2,13.5,0.28,0.29000000000000004,0.43,8.0,4.65,85,https://www.allrecipes.com/recipe/160194/spicy-shrimp-and-grits/
Awesome Slow Cooker Pot Roast,426.0,45.6,4.9,23.7,0.43,0.07000000000000006,0.5,12.0,4.64,490,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/
Baby Back Ribs,697.0,43.2,45.7,37.4,0.25,0.27,0.48,4.0,4.77,630,https://www.allrecipes.com/recipe/16091/baby-back-ribs/
Grilled Flat Iron Steak With Blue Cheese Chive Butter,551.0,36.9,3.0,43.9,0.27,0.010000000000000009,0.72,4.0,4.66,80,https://www.allrecipes.com/recipe/161194/grilled-flat-iron-steak-with-blue-cheese-chive-butter/
Beef Bourguignon I,458.0,19.9,14.1,28.9,0.17,0.26,0.57,8.0,4.65,123,https://www.allrecipes.com/recipe/16167/beef-bourguignon-i/
Awesome Red Wine Pot Roast,243.0,14.3,10.1,15.2,0.24,0.19999999999999996,0.56,12.0,4.53,270,https://www.allrecipes.com/recipe/162091/awesome-red-wine-pot-roast/
Smothered Beef Short Ribs,1505.0,50.6,26.3,128.7,0.13,0.09999999999999998,0.77,6.0,4.55,140,https://www.allrecipes.com/recipe/16218/smothered-beef-short-ribs/
Berdeans Cube Steak,395.0,25.8,6.1,29.2,0.26,0.06999999999999995,0.67,4.0,4.51,135,https://www.allrecipes.com/recipe/162227/berdeans-cube-steak/
