title,calorie,protein_g,carb_g,fat_g,protein_ratio,carb_ratio,fat_ratio,servings,ratings,cook_time,link
Bobs Stuffed Banana Peppers,593.0,25.1,28.5,42.5,0.17,0.17999999999999994,0.65,8.0,4.57,120,https://www.allrecipes.com/recipe/23074/bobs-stuffed-banana-peppers/
Easy Tuna Patties,325.0,31.3,13.9,15.5,0.39,0.17999999999999994,0.43,4.0,4.53,25,https://www.allrecipes.com/recipe/230857/easy-tuna-patties/
Easy Oven Brown Rice,206.0,3.6,36.2,5.1,0.07,0.71,0.22,6.0,4.74,70,https://www.allrecipes.com/recipe/230901/easy-oven-brown-rice/
Italian Sausage Baby Back Ribs,436.0,32.8,13.7,28.1,0.3,0.1200000000000001,0.58,8.0,4.81,240,https://www.allrecipes.com/recipe/231005/italian-sausage-baby-back-ribs/
Keema Aloo Ground Beef And Potatoes,362.0,25.6,23.4,17.7,0.28,0.28,0.44,8.0,4.61,80,https://www.allrecipes.com/recipe/231026/keema-aloo-ground-beef-and-potatoes/
Braised Corned Beef Brisket,455.0,30.6,5.4,33.7,0.27,0.05999999999999994,0.67,6.0,4.81,390,https://www.allrecipes.com/recipe/231030/braised-corned-beef-brisket/
Taco Lasagna,475.0,26.7,28.2,28.5,0.22,0.24,0.54,12.0,4.58,75,https://www.allrecipes.com/recipe/23105/taco-lasagna/
Chef Johns Swedish Meatballs,479.0,28.2,10.1,35.8,0.24,0.08999999999999997,0.67,6.0,4.64,125,https://www.allrecipes.com/recipe/231169/chef-johns-swedish-meatballs/
Best Turkey Meatloaf,296.0,19.7,25.2,13.2,0.27,0.32999999999999996,0.4,8.0,4.63,75,https://www.allrecipes.com/recipe/231380/best-turkey-meatloaf/
Vegetarian Mexican Inspired Stuffed Peppers,509.0,23.8,55.5,22.8,0.19,0.4099999999999999,0.4,4.0,4.72,55,https://www.allrecipes.com/recipe/231514/vegetarian-mexican-inspired-stuffed-peppers/
Baked Flounder With Panko And Parmesan,331.0,29.2,19.6,17.6,0.35,0.17000000000000004,0.48,4.0,4.52,25,https://www.allrecipes.com/recipe/231549/baked-flounder-with-panko-and-parmesan/
Turkey In A Bag,744.0,93.2,3.8,36.5,0.5,0.06000000000000005,0.44,12.0,4.81,200,https://www.allrecipes.com/recipe/23157/turkey-in-a-bag/
Chef Johns Baked Lemon Pepper Salmon,488.0,49.5,7.1,28.1,0.41,0.07000000000000006,0.52,2.0,4.39,55,https://www.allrecipes.com/recipe/231702/chef-johns-baked-lemon-pepper-salmon/
Chef Johns Baked Mushroom Risotto,480.0,11.1,51.1,25.9,0.09,0.42000000000000004,0.49,4.0,4.94,45,https://www.allrecipes.com/recipe/231713/chef-johns-baked-mushroom-risotto/
Million Dollar Spaghetti,617.0,28.4,30.8,42.2,0.18,0.19999999999999996,0.62,8.0,4.55,90,https://www.allrecipes.com/recipe/232227/million-dollar-spaghetti/
Squasage Sausage Stuffed Squash,523.0,24.4,30.9,34.9,0.19,0.20999999999999996,0.6,4.0,4.79,100,https://www.allrecipes.com/recipe/232355/squasage-sausage-stuffed-squash/
Slow Cooker Red Curry Beef Pot Roast,625.0,30.1,42.2,39.0,0.19,0.25,0.56,6.0,4.51,480,https://www.allrecipes.com/recipe/232359/slow-cooker-red-curry-beef-pot-roast/
Rack Of Lamb With Blueberry Sauce,831.0,44.9,10.4,62.1,0.22,0.10999999999999999,0.67,4.0,4.76,65,https://www.allrecipes.com/recipe/232474/rack-of-lamb-with-blueberry-sauce/
Simple Hamburger Stroganoff,735.0,28.9,60.9,42.0,0.16,0.32999999999999996,0.51,6.0,4.3,30,https://www.allrecipes.com/recipe/23260/simple-hamburger-stroganoff/
Chef Johns New Orleans Style Barbequed Shrimp ,308.0,29.0,7.8,18.6,0.38,0.07999999999999996,0.54,4.0,4.77,110,https://www.allrecipes.com/recipe/232809/chef-johns-new-orleans-style-barbequed-shrimp-/
Smoked Turkey And Spring Pea Fettuccine,661.0,18.9,49.2,44.4,0.11,0.29000000000000004,0.6,4.0,4.08,35,https://www.allrecipes.com/recipe/232847/smoked-turkey-and-spring-pea-fettuccine/
Simple Broiled Haddock,228.0,43.2,0.9,4.7,0.76,0.050000000000000044,0.19,4.0,4.6,20,https://www.allrecipes.com/recipe/232906/simple-broiled-haddock/
Chef Johns Meatless Meatballs,421.0,16.9,50.1,17.9,0.16,0.45999999999999996,0.38,4.0,4.67,330,https://www.allrecipes.com/recipe/232908/chef-johns-meatless-meatballs/
Curly Q Grilled Sausages ,227.0,12.0,5.5,17.1,0.21,0.10999999999999999,0.68,2.0,4.64,85,https://www.allrecipes.com/recipe/232916/curly-q-grilled-sausages-/
Grilled Sea Bass With Chili Lime Dressing,155.0,21.5,3.0,5.8,0.55,0.10999999999999988,0.34,4.0,4.72,25,https://www.allrecipes.com/recipe/233254/grilled-sea-bass-with-chili-lime-dressing/
Root Beer And Sesame Glazed Ribs,420.0,23.6,6.3,32.7,0.22,0.08000000000000007,0.7,8.0,4.43,890,https://www.allrecipes.com/recipe/233272/root-beer-and-sesame-glazed-ribs/
Beerbecue Beef Flank Steak,282.0,21.2,29.5,7.0,0.3,0.48,0.22,4.0,4.3,505,https://www.allrecipes.com/recipe/233294/beerbecue-beef-flank-steak/
Grilled Coffee And Cola Skirt Steak,213.0,17.0,13.1,10.2,0.32,0.25,0.43,4.0,4.33,505,https://www.allrecipes.com/recipe/233573/grilled-coffee-and-cola-skirt-steak/
Chef Johns Blt Pasta ,502.0,17.3,48.4,27.6,0.14,0.37,0.49,4.0,4.63,40,https://www.allrecipes.com/recipe/233582/chef-johns-blt-pasta-/
Chef Johns Lasagna,730.0,42.9,49.8,39.2,0.24,0.28,0.48,12.0,4.84,205,https://www.allrecipes.com/recipe/233661/chef-johns-lasagna/
Chef Johns Cashew Chicken ,539.0,33.5,30.4,32.9,0.25,0.19999999999999996,0.55,2.0,4.16,30,https://www.allrecipes.com/recipe/233687/chef-johns-cashew-chicken-/
Hot Wheels Pasta,269.0,9.6,42.4,8.7,0.14,0.5700000000000001,0.29,4.0,4.12,45,https://www.allrecipes.com/recipe/233789/hot-wheels-pasta/
Tuna Zucchini Elbow Pasta,544.0,33.1,85.3,8.2,0.24,0.62,0.14,6.0,4.37,45,https://www.allrecipes.com/recipe/233926/tuna-zucchini-elbow-pasta/
El Paso Pizza,404.0,22.8,34.7,18.8,0.23,0.35,0.42,6.0,5.0,50,https://www.allrecipes.com/recipe/233970/el-paso-pizza/
Grilled Salmon With Bacon And Corn Relish,605.0,56.6,20.2,33.1,0.37,0.14,0.49,2.0,4.82,45,https://www.allrecipes.com/recipe/233975/grilled-salmon-with-bacon-and-corn-relish/
Spicy Crispy Beef,489.0,11.4,40.9,31.8,0.09,0.32000000000000006,0.59,4.0,4.67,45,https://www.allrecipes.com/recipe/23420/spicy-crispy-beef/
Grilled Game Hens With Blood Orange And Rosemary,382.0,26.1,5.6,27.9,0.27,0.06999999999999995,0.66,4.0,4.0,180,https://www.allrecipes.com/recipe/234282/grilled-game-hens-with-blood-orange-and-rosemary/
How To Make Beef Satay,484.0,40.1,19.2,26.8,0.33,0.16999999999999993,0.5,4.0,4.81,150,https://www.allrecipes.com/recipe/234309/how-to-make-beef-satay/
To Die For Fettuccine Alfredo,964.0,23.7,84.0,61.2,0.1,0.33000000000000007,0.57,6.0,4.61,30,https://www.allrecipes.com/recipe/23431/to-die-for-fettuccine-alfredo/
Chef Johns Beef Braciole,405.0,26.5,22.1,23.7,0.26,0.20999999999999996,0.53,4.0,4.7,55,https://www.allrecipes.com/recipe/234352/chef-johns-beef-braciole/
Italian Style Turkey Meatloaf,163.0,17.8,8.1,7.0,0.44,0.16999999999999993,0.39,6.0,4.63,65,https://www.allrecipes.com/recipe/234508/italian-style-turkey-meatloaf/
Easy Baked Turkey Wings,255.0,35.4,7.8,8.3,0.56,0.1499999999999999,0.29,4.0,4.76,130,https://www.allrecipes.com/recipe/234510/easy-baked-turkey-wings/
Chef Johns Sausage And Egg Pizza,649.0,34.1,49.7,33.9,0.21,0.32000000000000006,0.47,4.0,5.0,40,https://www.allrecipes.com/recipe/234535/chef-johns-sausage-and-egg-pizza/
Chef Johns Pork And Beans And Greens,510.0,34.8,16.4,33.5,0.27,0.14,0.59,6.0,4.82,105,https://www.allrecipes.com/recipe/234537/chef-johns-pork-and-beans-and-greens/
Chef Johns Creamy Mushroom Pasta ,375.0,11.1,33.6,22.4,0.12,0.33999999999999997,0.54,6.0,4.73,45,https://www.allrecipes.com/recipe/234667/chef-johns-creamy-mushroom-pasta-/
How To Make Cassoulet,524.0,30.9,54.0,23.7,0.24,0.3500000000000001,0.41,8.0,4.29,660,https://www.allrecipes.com/recipe/234677/how-to-make-cassoulet/
Chef Johns Smothered Pork Chops ,370.0,27.8,7.7,24.8,0.3,0.10000000000000009,0.6,4.0,4.63,70,https://www.allrecipes.com/recipe/234803/chef-johns-smothered-pork-chops-/
Chicken With 20 Cloves Of Garlic ,525.0,31.4,4.7,42.1,0.24,0.040000000000000036,0.72,6.0,4.28,540,https://www.allrecipes.com/recipe/234915/chicken-with-20-cloves-of-garlic-/
Chef Johns Garlic Studded Roast Pork,456.0,30.6,14.5,29.7,0.27,0.14,0.59,6.0,4.85,755,https://www.allrecipes.com/recipe/234931/chef-johns-garlic-studded-roast-pork/
Beef Medallions With Fresh Horseradish Sauce ,431.0,18.4,16.1,34.0,0.17,0.12,0.71,2.0,4.71,40,https://www.allrecipes.com/recipe/234934/beef-medallions-with-fresh-horseradish-sauce-/
How To Make Turkey Manicotti ,286.0,19.6,21.6,13.1,0.27,0.32000000000000006,0.41,6.0,4.56,145,https://www.allrecipes.com/recipe/235159/how-to-make-turkey-manicotti-/
Chef Johns Porchetta,266.0,19.8,2.9,19.1,0.3,0.050000000000000044,0.65,6.0,4.67,585,https://www.allrecipes.com/recipe/235180/chef-johns-porchetta/
How To Make A Simple Meat Sauce,532.0,28.6,72.1,14.7,0.22,0.53,0.25,6.0,5.0,70,https://www.allrecipes.com/recipe/235358/how-to-make-a-simple-meat-sauce/
Chef Johns Deviled Shrimp Ragu,146.0,9.7,8.2,8.6,0.27,0.19999999999999996,0.53,4.0,4.08,50,https://www.allrecipes.com/recipe/235360/chef-johns-deviled-shrimp-ragu/
Creamy Herbed Pork Chops,601.0,40.3,10.9,43.6,0.27,0.07999999999999996,0.65,4.0,4.6,35,https://www.allrecipes.com/recipe/235432/creamy-herbed-pork-chops/
Gorgonzola Cream Sauce,300.0,8.5,12.6,24.4,0.11,0.16000000000000003,0.73,6.0,4.83,40,https://www.allrecipes.com/recipe/235470/gorgonzola-cream-sauce/
How To Make Coquilles Saint Jacques ,374.0,26.3,8.3,21.6,0.28,0.19999999999999996,0.52,4.0,4.78,50,https://www.allrecipes.com/recipe/235471/how-to-make-coquilles-saint-jacques-/
Roast Peruvian Turkey ,841.0,93.5,7.0,47.3,0.44,0.050000000000000044,0.51,12.0,4.78,315,https://www.allrecipes.com/recipe/235472/roast-peruvian-turkey-/
Chef Johns Pulled Pork Bbq,344.0,17.2,33.7,14.9,0.2,0.4099999999999999,0.39,12.0,4.84,735,https://www.allrecipes.com/recipe/235566/chef-johns-pulled-pork-bbq/
Chef Johns Ricotta Meatballs ,331.0,16.3,18.9,20.9,0.2,0.22999999999999998,0.57,8.0,4.6,60,https://www.allrecipes.com/recipe/235710/chef-johns-ricotta-meatballs-/
Eggplant Parmesan Casserole ,397.0,12.7,41.1,21.4,0.13,0.38,0.49,6.0,4.58,80,https://www.allrecipes.com/recipe/235794/eggplant-parmesan-casserole-/
How To Cook Trout,470.0,40.4,1.6,33.2,0.34,0.020000000000000018,0.64,2.0,4.88,25,https://www.allrecipes.com/recipe/235851/how-to-cook-trout/
Peppercorn Roast Beef ,425.0,40.0,6.0,25.6,0.38,0.07999999999999996,0.54,6.0,4.71,60,https://www.allrecipes.com/recipe/235901/peppercorn-roast-beef-/
Slow Cooker Pork Roast,406.0,25.8,32.6,19.0,0.25,0.33000000000000007,0.42,6.0,4.61,495,https://www.allrecipes.com/recipe/235924/slow-cooker-pork-roast/
A Scotsmans Shepherd Pie,386.0,17.0,30.4,21.4,0.18,0.32000000000000006,0.5,8.0,4.8,75,https://www.allrecipes.com/recipe/235985/a-scotsmans-shepherd-pie/
Unstuffed Cabbage Roll,398.0,28.5,16.3,23.8,0.29,0.16999999999999993,0.54,6.0,4.55,55,https://www.allrecipes.com/recipe/235997/unstuffed-cabbage-roll/
Worlds Best Lasagna,448.0,29.7,36.5,21.3,0.27,0.30000000000000004,0.43,12.0,4.8,195,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/
Beef And Noodles,402.0,28.5,38.7,14.4,0.28,0.3999999999999999,0.32,4.0,4.6,90,https://www.allrecipes.com/recipe/236001/beef-and-noodles/
Bobs Pulled Pork On A Smoker,442.0,23.7,15.2,32.1,0.21,0.14,0.65,20.0,4.69,1210,https://www.allrecipes.com/recipe/236104/bobs-pulled-pork-on-a-smoker/
Chef Johns Pasta Primavera,589.0,18.6,72.5,26.9,0.13,0.45999999999999996,0.41,6.0,4.4,45,https://www.allrecipes.com/recipe/236218/chef-johns-pasta-primavera/
Cauliflower Fried Rice,366.0,33.3,15.8,19.2,0.36,0.17000000000000004,0.47,6.0,4.59,45,https://www.allrecipes.com/recipe/236284/cauliflower-fried-rice/
Chicken And Mushroom Chimichangas ,618.0,33.1,48.2,32.3,0.21,0.32000000000000006,0.47,4.0,4.8,55,https://www.allrecipes.com/recipe/236321/chicken-and-mushroom-chimichangas-/
Chicago Inspired Italian Beef Sandwich ,406.0,29.3,35.7,15.7,0.29,0.3600000000000001,0.35,4.0,4.65,85,https://www.allrecipes.com/recipe/236322/chicago-inspired-italian-beef-sandwich-/
Beef And Rice Stuffed Bell Peppers,376.0,30.3,26.3,16.9,0.32,0.28,0.4,6.0,4.67,100,https://www.allrecipes.com/recipe/236359/beef-and-rice-stuffed-bell-peppers/
Pams Bierocks,293.0,9.5,40.7,10.0,0.13,0.56,0.31,20.0,4.66,90,https://www.allrecipes.com/recipe/23658/pams-bierocks/
Chef Johns Corned Beef And Cabbage ,380.0,22.4,29.0,19.6,0.24,0.30000000000000004,0.46,8.0,4.77,255,https://www.allrecipes.com/recipe/236601/chef-johns-corned-beef-and-cabbage-/
King Ranch Chicken Casserole ,479.0,32.0,24.9,28.0,0.27,0.19999999999999996,0.53,8.0,4.47,75,https://www.allrecipes.com/recipe/236805/king-ranch-chicken-casserole-/
Chef Johns Lamb Moussaka Burger ,620.0,31.2,39.9,37.3,0.2,0.26,0.54,4.0,4.85,80,https://www.allrecipes.com/recipe/236861/chef-johns-lamb-moussaka-burger-/
Super Duper Slow Cooker Beef Stroganoff,394.0,26.3,14.3,24.2,0.27,0.17999999999999994,0.55,6.0,4.63,435,https://www.allrecipes.com/recipe/236867/super-duper-slow-cooker-beef-stroganoff/
Pork Butt Roast With Vegetables,549.0,43.5,46.0,20.9,0.32,0.33999999999999997,0.34,8.0,4.67,260,https://www.allrecipes.com/recipe/23695/pork-butt-roast-with-vegetables/
Chef Johns Crab Stuffed Sole,474.0,41.3,4.6,32.0,0.35,0.040000000000000036,0.61,2.0,4.73,35,https://www.allrecipes.com/recipe/236989/chef-johns-crab-stuffed-sole/
Chef Johns Barbecue Chicken ,464.0,47.5,10.6,24.2,0.41,0.1200000000000001,0.47,6.0,4.7,120,https://www.allrecipes.com/recipe/236990/chef-johns-barbecue-chicken-/
Santa Maria Grilled Tri Tip Beef ,452.0,52.5,3.6,24.1,0.46,0.06000000000000005,0.48,6.0,4.81,315,https://www.allrecipes.com/recipe/236992/santa-maria-grilled-tri-tip-beef-/
Chef Johns Caramel Pork Belly ,410.0,20.6,39.3,19.7,0.2,0.37,0.43,2.0,4.65,990,https://www.allrecipes.com/recipe/236994/chef-johns-caramel-pork-belly-/
Chef Johns Spaghetti Al Tonno ,619.0,31.2,79.5,17.7,0.2,0.54,0.26,4.0,4.35,55,https://www.allrecipes.com/recipe/237065/chef-johns-spaghetti-al-tonno-/
Mediterranean Pasta,625.0,45.3,50.8,26.6,0.29,0.33000000000000007,0.38,4.0,4.51,40,https://www.allrecipes.com/recipe/23709/mediterranean-pasta/
Manhattan Filet With Pan Sauce Bordelaise,732.0,57.9,5.9,46.9,0.32,0.10000000000000009,0.58,2.0,4.85,525,https://www.allrecipes.com/recipe/237138/manhattan-filet-with-pan-sauce-bordelaise/
Penne Pasta With Peas And Prosciutto,702.0,33.3,120.8,11.2,0.19,0.6699999999999999,0.14,4.0,4.35,35,https://www.allrecipes.com/recipe/237141/penne-pasta-with-peas-and-prosciutto/
Vegetarian Meatloaf With Vegetables,225.0,15.1,30.6,4.9,0.27,0.53,0.2,9.0,4.56,110,https://www.allrecipes.com/recipe/23722/vegetarian-meatloaf-with-vegetables/
Grilled Spanish Mustard Beef ,338.0,28.3,4.6,22.7,0.33,0.07000000000000006,0.6,4.0,4.57,50,https://www.allrecipes.com/recipe/237239/grilled-spanish-mustard-beef-/
Flank Steak Roulade,344.0,22.6,18.4,16.9,0.26,0.30000000000000004,0.44,4.0,5.0,205,https://www.allrecipes.com/recipe/237317/flank-steak-roulade/
Savory Buttermilk Meatloaf ,559.0,38.3,33.6,29.7,0.27,0.25,0.48,6.0,4.58,120,https://www.allrecipes.com/recipe/237319/savory-buttermilk-meatloaf-/
Sherry Braised Beef Short Ribs ,490.0,22.4,9.3,38.6,0.18,0.1100000000000001,0.71,8.0,4.8,175,https://www.allrecipes.com/recipe/237320/sherry-braised-beef-short-ribs-/
Cherry Tomato Sauce With Penne ,475.0,17.7,76.2,12.3,0.15,0.62,0.23,4.0,4.65,40,https://www.allrecipes.com/recipe/237321/cherry-tomato-sauce-with-penne-/
Chef Johns City Chicken ,233.0,17.8,14.4,12.2,0.31,0.21999999999999997,0.47,6.0,4.36,60,https://www.allrecipes.com/recipe/237471/chef-johns-city-chicken-/
Chef Johns Roasted Leg Of Lamb,344.0,31.9,5.8,20.6,0.37,0.08999999999999997,0.54,8.0,4.9,620,https://www.allrecipes.com/recipe/237474/chef-johns-roasted-leg-of-lamb/
Chef Johns Chicken French ,627.0,48.4,31.5,32.1,0.31,0.22999999999999998,0.46,4.0,4.48,25,https://www.allrecipes.com/recipe/237499/chef-johns-chicken-french-/
Quiche,260.0,12.0,14.1,17.2,0.18,0.21999999999999997,0.6,8.0,4.67,80,https://www.allrecipes.com/recipe/23772/quiche/
Olive Oil Poached Tuna ,608.0,66.5,1.3,36.0,0.44,0.030000000000000027,0.53,2.0,4.82,61,https://www.allrecipes.com/recipe/237725/olive-oil-poached-tuna-/
Garlic Fennel Flank Steak With Oranges ,319.0,28.3,6.1,19.8,0.35,0.08999999999999997,0.56,4.0,4.4,160,https://www.allrecipes.com/recipe/237726/garlic-fennel-flank-steak-with-oranges-/
Quiche Supreme,409.0,15.4,14.1,32.5,0.15,0.13,0.72,16.0,4.8,75,https://www.allrecipes.com/recipe/23773/quiche-supreme/
Chef Johns Salmon Cakes ,305.0,30.9,14.6,14.6,0.41,0.16000000000000003,0.43,4.0,4.54,55,https://www.allrecipes.com/recipe/237827/chef-johns-salmon-cakes-/
Chef Johns Chicken Teriyaki ,289.0,21.2,12.7,12.4,0.29,0.32000000000000006,0.39,10.0,4.48,75,https://www.allrecipes.com/recipe/237927/chef-johns-chicken-teriyaki-/
Chef Johns Chicken Marsala ,799.0,51.1,26.8,39.0,0.26,0.30000000000000004,0.44,2.0,4.68,60,https://www.allrecipes.com/recipe/237928/chef-johns-chicken-marsala-/
Chef Johns Grilled Flap Steak,380.0,51.1,2.0,23.3,0.54,-0.09000000000000008,0.55,4.0,5.0,255,https://www.allrecipes.com/recipe/237930/chef-johns-grilled-flap-steak/
Shrimp And Vegetable Couscous,450.0,24.4,52.8,15.6,0.22,0.47,0.31,6.0,4.44,55,https://www.allrecipes.com/recipe/238035/shrimp-and-vegetable-couscous/
Chef Johns Salmon Mango Bango,307.0,25.1,27.0,11.6,0.33,0.32999999999999996,0.34,2.0,4.72,30,https://www.allrecipes.com/recipe/238037/chef-johns-salmon-mango-bango/
Chef Johns Prison Style Meatloaf,286.0,19.6,19.4,14.5,0.27,0.27,0.46,10.0,4.64,120,https://www.allrecipes.com/recipe/238038/chef-johns-prison-style-meatloaf/
Spaghetti With Clam Sauce ,667.0,27.4,63.3,33.5,0.16,0.39,0.45,6.0,4.54,35,https://www.allrecipes.com/recipe/238135/spaghetti-with-clam-sauce-/
Torta Di Riso,232.0,11.1,25.2,10.3,0.19,0.4099999999999999,0.4,6.0,4.33,60,https://www.allrecipes.com/recipe/238310/torta-di-riso/
Fettuccine Alfredo V,854.0,27.2,55.9,59.4,0.13,0.24,0.63,4.0,4.52,20,https://www.allrecipes.com/recipe/23834/fettuccine-alfredo-v/
Chef Johns Grilled Game Hens ,417.0,26.0,1.6,33.3,0.25,0.030000000000000027,0.72,4.0,5.0,235,https://www.allrecipes.com/recipe/238402/chef-johns-grilled-game-hens-/
Chef Johns Grilled Swordfish Bruschetta ,749.0,36.6,50.5,44.2,0.2,0.27,0.53,2.0,4.84,55,https://www.allrecipes.com/recipe/238404/chef-johns-grilled-swordfish-bruschetta-/
Marsala Marinated Skirt Steak,282.0,20.5,11.4,12.2,0.29,0.32000000000000006,0.39,4.0,4.55,500,https://www.allrecipes.com/recipe/238506/marsala-marinated-skirt-steak/
Chef Johns Hoisin Barbeque Pork Ribs ,482.0,30.1,19.5,30.9,0.25,0.17000000000000004,0.58,8.0,4.15,765,https://www.allrecipes.com/recipe/238508/chef-johns-hoisin-barbeque-pork-ribs-/
Coney Island Hot Dogs,528.0,29.0,29.6,32.3,0.22,0.22999999999999998,0.55,8.0,4.59,85,https://www.allrecipes.com/recipe/238509/coney-island-hot-dogs/
Chef Johns Grilled Lamb Steaks ,467.0,29.2,11.8,33.5,0.25,0.09999999999999998,0.65,4.0,4.73,520,https://www.allrecipes.com/recipe/238511/chef-johns-grilled-lamb-steaks-/
Roast Pork With Blueberry Port Sauce,375.0,25.9,9.1,22.8,0.28,0.16999999999999993,0.55,4.0,3.87,135,https://www.allrecipes.com/recipe/238586/roast-pork-with-blueberry-port-sauce/
Red Pepper Scallops On Potato Pancakes ,296.0,19.1,19.5,15.5,0.26,0.27,0.47,4.0,4.25,55,https://www.allrecipes.com/recipe/238587/red-pepper-scallops-on-potato-pancakes-/
Quick And Easy Paella ,476.0,26.4,46.9,19.3,0.22,0.42000000000000004,0.36,6.0,4.83,70,https://www.allrecipes.com/recipe/238588/quick-and-easy-paella-/
Scallops With Arugula Lentils And Butter Beans ,361.0,39.5,32.8,8.2,0.44,0.36,0.2,4.0,4.12,25,https://www.allrecipes.com/recipe/238806/scallops-with-arugula-lentils-and-butter-beans-/
Short Ribs Braised With Mushrooms And Tomatoes ,362.0,16.5,6.3,29.9,0.18,0.08000000000000007,0.74,8.0,4.88,180,https://www.allrecipes.com/recipe/238807/short-ribs-braised-with-mushrooms-and-tomatoes-/
Chef Johns Shrimp Fra Diavolo,247.0,20.8,12.5,8.2,0.34,0.36,0.3,4.0,4.78,35,https://www.allrecipes.com/recipe/238843/chef-johns-shrimp-fra-diavolo/
Upside Down Barbeque Meatloaf ,509.0,36.7,19.8,30.4,0.29,0.16999999999999993,0.54,4.0,4.45,95,https://www.allrecipes.com/recipe/238847/upside-down-barbeque-meatloaf-/
Spaghetti Squash Pad Thai,441.0,36.3,22.1,23.5,0.33,0.18999999999999995,0.48,4.0,4.68,70,https://www.allrecipes.com/recipe/238876/spaghetti-squash-pad-thai/
Grilled Cheese Sandwich,400.0,11.1,25.7,28.3,0.11,0.25,0.64,2.0,4.77,20,https://www.allrecipes.com/recipe/23891/grilled-cheese-sandwich/
Kraut Bierocks,630.0,24.6,55.0,34.3,0.16,0.35,0.49,10.0,4.69,105,https://www.allrecipes.com/recipe/23893/kraut-bierocks/
Roasted Cauliflower Steaks,176.0,4.3,12.1,13.8,0.1,0.19000000000000006,0.71,4.0,4.58,40,https://www.allrecipes.com/recipe/239042/roasted-cauliflower-steaks/
One Pan Orecchiette Pasta,662.0,31.2,46.2,39.1,0.19,0.28,0.53,2.0,4.64,40,https://www.allrecipes.com/recipe/239047/one-pan-orecchiette-pasta/
Cranberry Stuffed Game Hens,549.0,25.8,26.0,38.1,0.19,0.18999999999999995,0.62,4.0,4.79,135,https://www.allrecipes.com/recipe/239049/cranberry-stuffed-game-hens/
Seared Scallops With Corn Cream,276.0,23.1,18.4,13.0,0.33,0.25,0.42,4.0,4.95,35,https://www.allrecipes.com/recipe/239052/seared-scallops-with-corn-cream/
Easy Mustard Glazed Broiled Salmon ,271.0,30.2,2.5,14.4,0.45,0.07000000000000006,0.48,2.0,4.3,15,https://www.allrecipes.com/recipe/239061/easy-mustard-glazed-broiled-salmon-/
Hillshire Farmr Sausage Alfredo,663.0,17.5,33.6,51.1,0.11,0.20000000000000007,0.69,6.0,4.62,15,https://www.allrecipes.com/recipe/239096/hillshire-farmr-sausage-alfredo/
Roasted Pork Tenderloin With Fresh Plum Sauce ,370.0,37.4,22.5,14.5,0.4,0.25,0.35,2.0,4.64,60,https://www.allrecipes.com/recipe/239147/roasted-pork-tenderloin-with-fresh-plum-sauce-/
Stuffed And Rolled Pork Tenderloin ,283.0,23.7,15.1,14.1,0.33,0.21999999999999997,0.45,4.0,4.31,75,https://www.allrecipes.com/recipe/239233/stuffed-and-rolled-pork-tenderloin-/
Sorta Blackened Chile Rubbed Pork,522.0,47.6,3.3,34.7,0.36,0.040000000000000036,0.6,2.0,4.2,270,https://www.allrecipes.com/recipe/239435/sorta-blackened-chile-rubbed-pork/
Midwest Salisbury Steak,367.0,28.5,21.1,20.0,0.31,0.19999999999999996,0.49,5.0,4.72,65,https://www.allrecipes.com/recipe/239534/midwest-salisbury-steak/
Chef Johns Fresh Salmon Cakes,460.0,31.6,8.5,33.5,0.27,0.06999999999999995,0.66,4.0,4.78,95,https://www.allrecipes.com/recipe/239541/chef-johns-fresh-salmon-cakes/
Grilled Halibut Steaks With Corn And Chanterelles ,562.0,53.6,30.9,25.7,0.38,0.20999999999999996,0.41,2.0,4.78,40,https://www.allrecipes.com/recipe/239543/grilled-halibut-steaks-with-corn-and-chanterelles-/
Crispy Pork Carnitas,317.0,25.5,2.1,22.6,0.32,0.040000000000000036,0.64,6.0,4.65,235,https://www.allrecipes.com/recipe/239786/crispy-pork-carnitas/
Simple Spinach Lasagna,361.0,23.4,41.6,11.8,0.26,0.44999999999999996,0.29,8.0,4.55,100,https://www.allrecipes.com/recipe/23988/simple-spinach-lasagna/
Roast Quail With Cured Lemon ,281.0,21.5,3.8,20.0,0.31,0.050000000000000044,0.64,4.0,4.2,40,https://www.allrecipes.com/recipe/240133/roast-quail-with-cured-lemon-/
Crispy Skin Salmon On Potato Mushroom Salad ,831.0,30.4,27.7,68.2,0.15,0.10999999999999999,0.74,2.0,4.5,90,https://www.allrecipes.com/recipe/240240/crispy-skin-salmon-on-potato-mushroom-salad-/
Kalua Pig In A Slow Cooker,243.0,25.9,0.0,14.7,0.43,0.030000000000000027,0.54,12.0,4.71,1210,https://www.allrecipes.com/recipe/24035/kalua-pig-in-a-slow-cooker/
Chef Johns Boneless Whole Turkey,567.0,69.8,6.6,26.9,0.49,0.08000000000000007,0.43,20.0,4.82,130,https://www.allrecipes.com/recipe/240457/chef-johns-boneless-whole-turkey/
Lobster Newberg,297.0,19.6,3.6,22.4,0.26,0.05999999999999994,0.68,4.0,4.64,25,https://www.allrecipes.com/recipe/240525/lobster-newberg/
Duck Fesenjan,668.0,31.2,32.3,48.1,0.19,0.15999999999999992,0.65,8.0,4.86,210,https://www.allrecipes.com/recipe/240607/duck-fesenjan/
